pair_id,orth_sim,phon_sim,sem_sim,semantic_imputed,label
B000174,0.875000,0.965812,0.550754,False,cognate
B000175,0.625000,0.625641,0.824822,False,unrelated
B000176,1.000000,1.000000,0.669591,False,cognate
B000177,0.200000,0.241923,0.516616,False,unrelated
B000178,0.157895,0.202279,0.531924,False,unrelated
B000179,0.600000,0.757436,0.704030,False,cognate
B000180,0.909091,0.979487,0.692548,False,cognate
B000181,0.833333,0.979487,0.889374,False,cognate
B000182,0.111111,0.333333,0.827501,False,unrelated
B000183,0.888889,0.969231,0.592658,False,false_friend
B000184,0.000000,0.240559,0.554363,False,unrelated
B000185,0.636364,0.656731,0.752433,False,unrelated
B000186,0.083333,0.219028,0.789545,False,unrelated
B000187,0.833333,0.836437,0.622389,False,cognate
B000188,0.100000,0.244712,0.802148,False,unrelated
B000189,0.916667,0.981900,0.838135,False,cognate
B000190,0.200000,0.300000,0.591548,False,unrelated
B000191,0.181818,0.258974,0.689425,False,unrelated
B000192,0.375000,0.188889,0.708807,False,unrelated
B000193,1.000000,1.000000,0.630425,False,cognate
B000194,0.833333,0.711538,0.544368,False,false_friend
B000195,0.000000,0.000000,0.880330,False,unrelated
B000196,0.714286,0.801399,0.539403,False,cognate
B000197,0.600000,0.775148,1.000000,False,cognate
B000198,1.000000,1.000000,0.731621,False,cognate
B000199,0.615385,0.782212,0.775310,False,cognate
B000200,0.187500,0.276923,0.629107,False,unrelated
B000201,0.846154,0.988235,0.735830,False,cognate
B000202,1.000000,1.000000,0.555433,False,false_friend
B000203,0.857143,0.965812,0.596360,False,false_friend
B000204,1.000000,1.000000,0.743225,False,cognate
B000205,0.125000,0.528205,0.552610,False,unrelated
B000206,0.166667,0.268421,0.533220,False,unrelated
B000207,0.833333,0.948718,0.562544,False,false_friend
B000208,0.214286,0.273932,0.818165,False,unrelated
B000209,0.833333,0.977778,0.528547,False,false_friend
B000210,0.125000,0.086538,0.622898,False,unrelated
B000211,0.636364,0.661538,0.637046,False,unrelated
B000212,0.846154,0.825769,0.759204,False,cognate
B000213,0.769231,0.795023,0.703570,False,cognate
B000214,0.857143,0.981818,0.511887,False,false_friend
B000215,0.888889,0.985714,0.573201,False,false_friend
B000216,0.727273,0.785973,0.840983,False,cognate
B000217,0.133333,0.210839,0.857181,False,unrelated
B000218,0.777778,0.816667,0.600623,False,cognate
B000219,0.857143,0.858741,0.619296,False,false_friend
B000220,0.857143,1.000000,0.857743,False,cognate
B000221,0.600000,0.947436,0.966684,False,cognate
B000222,0.833333,0.777778,0.623439,False,false_friend
B000223,1.000000,1.000000,0.507727,False,cognate
B000224,0.666667,0.618037,0.717939,False,cognate
B000225,0.238095,0.403183,0.558329,False,unrelated
B000226,0.857143,0.981818,0.564205,False,cognate
B000227,1.000000,1.000000,0.581922,False,false_friend
B000228,1.000000,1.000000,0.534427,False,false_friend
B000229,0.692308,0.641453,0.677640,False,cognate
B000230,0.833333,0.726923,0.578905,False,false_friend
B000231,0.142857,0.328205,0.542853,False,unrelated
B000232,0.833333,0.760684,0.537135,False,false_friend
B000233,0.833333,0.977778,0.668825,False,false_friend
B000234,0.142857,0.126573,0.874334,False,unrelated
B000235,0.166667,0.249145,0.733244,False,unrelated
B000236,0.083333,0.246154,0.545069,False,unrelated
B000237,0.636364,0.720000,0.850301,False,cognate
B000238,0.916667,0.978022,0.853204,False,cognate
B000239,0.166667,0.267873,0.581196,False,unrelated
B000240,0.120000,0.133077,0.562974,False,unrelated
B000241,0.900000,0.965812,0.627581,False,cognate
B000242,0.857143,0.980000,0.568429,False,cognate
B000243,0.142857,0.382692,0.660789,False,unrelated
B000244,0.900000,0.978022,0.692043,False,cognate
B000245,0.769231,0.818077,0.780256,False,cognate
B000246,1.000000,1.000000,0.625083,False,false_friend
B000247,0.857143,0.822222,0.548615,False,false_friend
B000248,0.875000,0.833333,0.636355,False,cognate
B000249,1.000000,1.000000,0.655088,False,cognate
B000250,0.875000,0.878322,0.751984,False,cognate
B000251,0.000000,0.422222,0.704106,False,unrelated
B000252,0.833333,0.827350,0.671323,False,cognate
B000253,0.916667,0.871493,0.638449,False,cognate
B000254,0.625000,0.744000,0.545428,False,false_friend
B000255,0.125000,0.274359,0.588101,False,unrelated
B000256,0.000000,0.177622,0.675435,False,unrelated
B000257,0.800000,0.767692,0.868362,False,cognate
B000258,0.666667,0.967949,0.791769,False,cognate
B000259,0.062500,0.186713,0.516006,False,unrelated
B000260,0.666667,0.713846,0.697237,False,cognate
B000261,0.181818,0.423529,0.818165,False,unrelated
B000262,0.625000,0.636154,0.840804,False,cognate
B000263,0.833333,0.977778,0.739623,False,cognate
B000264,0.125000,0.333846,0.843146,False,unrelated
B000265,0.833333,0.966667,0.591928,False,false_friend
B000266,0.833333,1.000000,0.586070,False,false_friend
B000267,0.238095,0.292308,0.869101,False,unrelated
B000268,0.428571,0.362393,1.000000,False,unrelated
B000269,0.333333,0.271429,0.693182,False,unrelated
